fusion,lambda_id,text_weight,cycle_weight,early_retrieval_score,official_arithmetic,R_ID@1,R_ID@3,R_ID@5,R@1,R@5,R@10,R@50
0.1,0.0,0.5,0.0,70.97043991088867,84.59286093711853,77.91411042944786,95.11991076408253,97.68544339096486,51.42219662666321,90.51868319511414,96.54210805892944,99.88845586776733
0.3,0.0,0.5,0.0,70.95649838447571,84.62074846029282,78.89012827663134,95.287228109314,97.88064696040156,51.61740183830261,90.2955949306488,96.68154120445251,99.88845586776733
0.2,0.75,0.5,0.0,70.9425538778305,84.59286093711853,78.94590072504182,95.37088678192973,97.74121583937536,51.58951282501221,90.2955949306488,96.59788012504578,99.88845586776733
0.1,0.25,0.5,0.0,70.88678181171417,84.54405963420868,77.96988287785834,95.0920245398773,97.74121583937536,51.31065249443054,90.4629111289978,96.51421904563904,99.88845586776733
0.2,0.5,0.5,0.0,70.87284028530121,84.57891941070557,78.80646960401562,95.31511433351925,97.79698828778584,51.45008563995361,90.2955949306488,96.68154120445251,99.88845586776733
0.1,1.0,0.5,0.0,70.858895778656,84.5440611243248,78.41606246514222,95.11991076408253,97.62967094255438,51.39431357383728,90.32347798347473,96.56999707221985,99.88845586776733
0.2,0.0,0.5,0.0,70.84495425224304,84.5440611243248,78.41606246514222,95.20356943669827,97.65755716675962,51.39431357383728,90.2955949306488,96.59788012504578,99.88845586776733
0.3,0.25,0.5,0.0,70.8449512720108,84.55103188753128,78.97378694924707,95.42665923034022,97.90853318460681,51.366424560546875,90.32347798347473,96.62576913833618,99.88845586776733
0.2,0.25,0.5,0.0,70.80312371253967,84.5440611243248,78.61126603457892,95.23145566090352,97.71332961517011,51.33854150772095,90.2677059173584,96.68154120445251,99.88845586776733
0.4,0.0,0.5,0.0,70.78917920589447,84.5301166176796,79.02955939765755,95.51031790295595,97.96430563301729,51.366424560546875,90.21193385124207,96.65365219116211,99.88845586776733
0.1,0.75,0.5,0.0,70.77523469924927,84.49525833129883,78.24874511991077,95.06413831567205,97.62967094255438,51.226991415023804,90.32347798347473,96.54210805892944,99.88845586776733
0.1,0.5,0.5,0.0,70.7612931728363,84.48828756809235,78.10931399888456,95.06413831567205,97.68544339096486,51.199108362197876,90.32347798347473,96.54210805892944,99.88845586776733
0.2,1.0,0.5,0.0,70.70552110671997,84.46737378835678,78.83435582822086,95.39877300613497,97.74121583937536,51.28276348114014,90.1282787322998,96.56999707221985,99.88845586776733
0.3,0.5,0.5,0.0,70.62186300754547,84.43251550197601,78.97378694924707,95.4824316787507,97.85276073619632,51.059675216674805,90.18405079841614,96.59788012504578,99.88845586776733
0.5,0.0,0.5,0.0,70.5800324678421,84.41857248544693,79.28053541550474,95.53820412716118,97.88064696040156,51.059675216674805,90.1003897190094,96.62576913833618,99.88845586776733
0.4,0.5,0.5,0.0,70.55214643478394,84.39068645238876,79.2526491912995,95.4824316787507,97.88064696040156,50.94813108444214,90.15616178512573,96.56999707221985,99.88845586776733
0.5,0.25,0.5,0.0,70.53820490837097,84.38371568918228,79.4478527607362,95.64974902398215,97.96430563301729,50.94813108444214,90.1282787322998,96.56999707221985,99.88845586776733
0.4,0.25,0.5,0.0,70.52426040172577,84.36977118253708,79.02955939765755,95.4824316787507,97.88064696040156,50.94813108444214,90.1003897190094,96.54210805892944,99.88845586776733
0.3,0.75,0.5,0.0,70.4963743686676,84.37674343585968,79.00167317345232,95.51031790295595,97.76910206358059,50.83658695220947,90.15616178512573,96.62576913833618,99.88845586776733
0.3,1.0,0.5,0.0,70.45454680919647,84.34885740280151,79.2526491912995,95.51031790295595,97.88064696040156,50.78081488609314,90.1282787322998,96.59788012504578,99.88845586776733
0.4,0.75,0.5,0.0,70.3987717628479,84.27216857671738,79.14110429447852,95.6776352481874,97.90853318460681,50.64138174057007,90.15616178512573,96.40267491340637,99.88845586776733
0.5,0.5,0.5,0.0,70.28722763061523,84.20942574739456,79.22476296709425,95.62186279977692,98.04796430563302,50.418293476104736,90.15616178512573,96.37479186058044,99.88845586776733
0.4,1.0,0.5,0.0,70.20356953144073,84.16062444448471,79.33630786391522,95.53820412716118,97.99219185722254,50.278860330581665,90.1282787322998,96.34690284729004,99.88845586776733
0.5,0.75,0.5,0.0,69.82710510492325,83.93753543496132,79.30842163970998,95.56609035136643,98.02007808142777,49.77690875530243,89.87730145454407,96.20747566223145,99.88845586776733
0.5,1.0,0.5,0.0,69.54824179410934,83.7702177464962,79.0574456218628,95.42665923034022,98.02007808142777,49.30284321308136,89.79364037513733,96.09593152999878,99.88845586776733
